%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1695954305840716007,0.5,0.0,0.0,0.0,0.0,0.2
1695954305940703270,0.5,0.0,0.0,0.0,0.0,0.2
1695954306040984800,0.5,0.0,0.0,0.0,0.0,0.2
1695954306140909765,0.5,0.0,0.0,0.0,0.0,0.2
1695954306241002014,0.5,0.0,0.0,0.0,0.0,0.2
1695954306340907571,0.5,0.0,0.0,0.0,0.0,0.2
1695954306440751086,0.5,0.0,0.0,0.0,0.0,0.2
1695954306540866918,0.5,0.0,0.0,0.0,0.0,0.2
1695954306640751071,0.5,0.0,0.0,0.0,0.0,0.2
1695954306740733636,0.5,0.0,0.0,0.0,0.0,0.2
1695954306840775127,0.5,0.0,0.0,0.0,0.0,0.2
1695954306940962899,0.5,0.0,0.0,0.0,0.0,0.2
1695954307040796554,0.5,0.0,0.0,0.0,0.0,0.2
1695954307140745064,0.5,0.0,0.0,0.0,0.0,0.2
1695954307240904180,0.5,0.0,0.0,0.0,0.0,0.2
1695954307340682628,0.5,0.0,0.0,0.0,0.0,0.2
1695954307440997230,0.5,0.0,0.0,0.0,0.0,0.2
1695954307540769849,0.5,0.0,0.0,0.0,0.0,0.2
1695954307640914134,0.5,0.0,0.0,0.0,0.0,0.2
1695954307740668476,0.5,0.0,0.0,0.0,0.0,0.2
1695954307840717448,0.5,0.0,0.0,0.0,0.0,0.2
1695954307940670343,0.5,0.0,0.0,0.0,0.0,0.2
1695954308040728955,0.5,0.0,0.0,0.0,0.0,0.2
1695954308140753564,0.5,0.0,0.0,0.0,0.0,0.2
1695954308240718648,0.5,0.0,0.0,0.0,0.0,0.2
1695954308340677947,0.5,0.0,0.0,0.0,0.0,0.2
1695954308440703598,0.5,0.0,0.0,0.0,0.0,0.2
1695954308540822040,0.5,0.0,0.0,0.0,0.0,0.2
1695954308640937471,0.5,0.0,0.0,0.0,0.0,0.2
1695954308740674067,0.5,0.0,0.0,0.0,0.0,0.2
1695954308840826649,0.5,0.0,0.0,0.0,0.0,0.2
1695954308940730548,0.5,0.0,0.0,0.0,0.0,0.2
1695954309040737940,0.5,0.0,0.0,0.0,0.0,0.2
1695954309140695597,0.5,0.0,0.0,0.0,0.0,0.2
1695954309240671489,0.5,0.0,0.0,0.0,0.0,0.2
1695954309340693799,0.5,0.0,0.0,0.0,0.0,0.2
1695954309440742217,0.5,0.0,0.0,0.0,0.0,0.2
1695954309540730659,0.5,0.0,0.0,0.0,0.0,0.2
1695954309641023571,0.5,0.0,0.0,0.0,0.0,0.2
1695954309740891619,0.5,0.0,0.0,0.0,0.0,0.2
1695954309840780518,0.5,0.0,0.0,0.0,0.0,0.2
1695954309940800613,0.5,0.0,0.0,0.0,0.0,0.2
1695954310040723786,0.5,0.0,0.0,0.0,0.0,0.2
1695954310140913131,0.5,0.0,0.0,0.0,0.0,0.2
1695954310240687911,0.5,0.0,0.0,0.0,0.0,0.2
1695954310341767245,0.5,0.0,0.0,0.0,0.0,0.2
1695954310440783488,0.5,0.0,0.0,0.0,0.0,0.2
1695954310540720769,0.5,0.0,0.0,0.0,0.0,0.2
1695954310640716292,0.5,0.0,0.0,0.0,0.0,0.2
1695954310740994237,0.5,0.0,0.0,0.0,0.0,0.2
1695954310840723400,0.5,0.0,0.0,0.0,0.0,0.2
1695954310940686212,0.5,0.0,0.0,0.0,0.0,0.2
1695954311040937999,0.5,0.0,0.0,0.0,0.0,0.2
1695954311140744521,0.5,0.0,0.0,0.0,0.0,0.2
1695954311240734565,0.5,0.0,0.0,0.0,0.0,0.2
1695954311340889101,0.5,0.0,0.0,0.0,0.0,0.2
1695954311440717154,0.5,0.0,0.0,0.0,0.0,0.2
1695954311541038198,0.5,0.0,0.0,0.0,0.0,0.2
1695954311640939553,0.5,0.0,0.0,0.0,0.0,0.2
1695954311740734730,0.5,0.0,0.0,0.0,0.0,0.2
1695954311840728684,0.5,0.0,0.0,0.0,0.0,0.2
1695954311940951602,0.5,0.0,0.0,0.0,0.0,0.2
1695954312040723004,0.5,0.0,0.0,0.0,0.0,0.2
1695954312140671671,0.5,0.0,0.0,0.0,0.0,0.2
1695954312240777549,0.5,0.0,0.0,0.0,0.0,0.2
1695954312340908319,0.5,0.0,0.0,0.0,0.0,0.2
1695954312440714959,0.5,0.0,0.0,0.0,0.0,0.2
1695954312540752617,0.5,0.0,0.0,0.0,0.0,0.2
1695954312640892946,0.5,0.0,0.0,0.0,0.0,0.2
1695954312740720068,0.5,0.0,0.0,0.0,0.0,0.2
1695954312840732119,0.5,0.0,0.0,0.0,0.0,0.2
1695954312940978874,0.5,0.0,0.0,0.0,0.0,0.2
1695954313040751635,0.5,0.0,0.0,0.0,0.0,0.2
1695954313140790972,0.5,0.0,0.0,0.0,0.0,0.2
1695954313240744940,0.5,0.0,0.0,0.0,0.0,0.2
1695954313340628387,0.5,0.0,0.0,0.0,0.0,0.2
1695954313440991536,0.5,0.0,0.0,0.0,0.0,0.2
1695954313540712805,0.5,0.0,0.0,0.0,0.0,0.2
1695954313640734062,0.5,0.0,0.0,0.0,0.0,0.2
1695954313740787221,0.5,0.0,0.0,0.0,0.0,0.2
1695954313840764515,0.5,0.0,0.0,0.0,0.0,0.2
1695954313940682216,0.5,0.0,0.0,0.0,0.0,0.2
1695954314040718732,0.5,0.0,0.0,0.0,0.0,0.2
1695954314140865314,0.5,0.0,0.0,0.0,0.0,0.2
1695954314240731296,0.5,0.0,0.0,0.0,0.0,0.2
1695954314340656084,0.5,0.0,0.0,0.0,0.0,0.2
1695954314440701606,0.5,0.0,0.0,0.0,0.0,0.2
1695954314540725318,0.5,0.0,0.0,0.0,0.0,0.2
1695954314640769566,0.5,0.0,0.0,0.0,0.0,0.2
1695954314740885188,0.5,0.0,0.0,0.0,0.0,0.2
1695954314840750306,0.5,0.0,0.0,0.0,0.0,0.2
1695954314940661593,0.5,0.0,0.0,0.0,0.0,0.2
1695954315040731997,0.5,0.0,0.0,0.0,0.0,0.2
1695954315140723078,0.5,0.0,0.0,0.0,0.0,0.2
1695954315240770971,0.5,0.0,0.0,0.0,0.0,0.2
1695954315341083131,0.5,0.0,0.0,0.0,0.0,0.2
1695954315440761590,0.5,0.0,0.0,0.0,0.0,0.2
1695954315540732866,0.5,0.0,0.0,0.0,0.0,0.2
1695954315640752667,0.5,0.0,0.0,0.0,0.0,0.2
1695954315740810750,0.5,0.0,0.0,0.0,0.0,0.2
